"pop1","pop2","pop3","pop4","est","se","z","p","n"
"IR10","KA9","FA5","SP1",0.0717833158141921,0.00710451174095706,10.1039055788121,5.30849576222903e-24,68228373
"IR10","KA9","FA6","SP1",0.0746885726604116,0.00698221258700693,10.696977745908,1.05152051868298e-26,68274396
"IR10","KA9","FA7","SP1",0.0747106719784793,0.00700651671929511,10.6630262899017,1.51583187621862e-26,68288260
"CE2","KA1","FA1","SP1",0.248071363264109,0.0111231458508375,22.3022665162151,3.51252166198559e-110,68079968
"CE2","KA1","FA4","SP1",0.24391055861693,0.011210699616441,21.7569435416166,5.93764643166983e-105,68115264
"CE2","KA1","FA5","SP1",0.266343526572636,0.0105897686537164,25.1510240952397,1.37720598114705e-139,68038711
"CE2","KA1","FA6","SP1",0.266736574419018,0.0100114220687796,26.6432253666371,2.14430497007872e-156,68083608
"CE2","KA1","FA7","SP1",0.244247998125404,0.0113120529293039,21.591836570414,2.14324511982635e-103,68096320
"CE2","KA2","FA1","SP1",0.212213907430156,0.0132582730131066,16.0061500634637,1.15754353737797e-57,68099450
"CE2","KA2","FA4","SP1",0.209342107953772,0.0132964467181245,15.7442144049219,7.52599461702795e-56,68134746
"CE2","KA2","FA5","SP1",0.230210133035034,0.0127392491739813,18.0709341571885,5.39917324476605e-73,68057847
"CE2","KA2","FA6","SP1",0.230700937727991,0.0124992026304868,18.4572523982681,4.55953724122327e-76,68102918
"CE2","KA2","FA7","SP1",0.207822429344792,0.0133858599517997,15.5255194730206,2.33108690567862e-54,68115666
"CE2","KA5","FA1","SP1",0.233397794972465,0.0121744159873447,19.1711697066275,6.44433960623711e-82,68069598
"CE2","KA5","FA4","SP1",0.230999153960005,0.0123351050952677,18.7269708831769,2.98419639227726e-78,68104623
"CE2","KA5","FA5","SP1",0.250603688690729,0.0117336650471659,21.3576651185605,3.30945098266981e-101,68027832
"CE2","KA5","FA6","SP1",0.252511957473812,0.0112420898783429,22.461300363757,9.92409668990264e-112,68073245
"CE2","KA5","FA7","SP1",0.230348023077784,0.0122736600132117,18.767671813447,1.3883808765504e-78,68085497
"CE2","KA6","FA1","SP1",0.231647391403318,0.012398514813422,18.683479020612,6.74746975040155e-78,68084077
"CE2","KA6","FA4","SP1",0.230117745478707,0.0124525687084083,18.4795403155113,3.01741108583875e-76,68119357
"CE2","KA6","FA5","SP1",0.250389755419052,0.01188288849261,21.0714554440842,1.45393186069095e-98,68042690
"CE2","KA6","FA6","SP1",0.251104516586155,0.0112775537015086,22.2658675127892,7.91752715914742e-110,68087688
