"pop1","pop2","pop3","pop4","est","se","z","p","n"
"XG1","TW4","KL2","SP1",0.437558051391952,0.00766832196673799,57.0604694599285,0,69941291
"XG1","TW4","FH1","SP1",0.439518978909025,0.00741845128153146,59.2467298401252,0,67027534
"XG1","GX4","UQ1","SP1",0.426716582745752,0.00727963478572221,58.61785588237,0,69757239
"XG1","GX4","CN1","SP1",0.421699430905287,0.00779847541812316,54.0745989819092,0,69999317
"XG1","GX4","CN10","SP1",0.430603851423817,0.00738698702985482,58.292217068138,0,69999916
"XG1","GX4","AL1","SP1",0.426237031545514,0.00716431030520888,59.4944961046166,0,68851786
"XG1","GX4","AL2","SP1",0.425763223029105,0.00715854191314597,59.4762492410964,0,68472010
"XG1","GX4","QT1","SP1",0.417447879704787,0.00759299513375954,54.9780254498985,0,68575139
"XG1","GX4","QT2","SP1",0.417662550347398,0.00754257854031339,55.3739743133049,0,68107070
"XG1","GX4","KL1","SP1",0.418802325804455,0.00752689257311551,55.6408002022415,0,67896192
"XG1","GX4","KL2","SP1",0.418913652933847,0.00764146815513773,54.8210951650947,0,69639588
"XG1","GX4","FH1","SP1",0.427696749852542,0.00710710885275202,60.178725092543,0,66730185
"XG1","GX15","UQ1","SP1",0.431435397484159,0.00709831799509377,60.7799478386794,0,69479824
"XG1","GX15","CN1","SP1",0.437163060202524,0.00723177496208108,60.4503130275395,0,69720598
"XG1","GX15","CN10","SP1",0.437435522612223,0.00721096528517656,60.6625472891196,0,69721503
"XG1","GX15","AL1","SP1",0.430879658385698,0.00706700117400589,60.9706504607041,0,68573792
"XG1","GX15","AL2","SP1",0.430414136395419,0.00704719020235891,61.0759925638656,0,68194341
"XG1","GX15","QT1","SP1",0.432037737824237,0.00704489520978422,61.3263540420312,0,68297521
"XG1","GX15","QT2","SP1",0.43258713593574,0.0070135131370974,61.679093983243,0,67830359
"XG1","GX15","KL1","SP1",0.432724228322777,0.00703175598715234,61.5385728846968,0,67619514
"XG1","GX15","KL2","SP1",0.432683560152136,0.00717450113500073,60.3085220854303,0,69361711
"XG1","GX15","FH1","SP1",0.433205880213842,0.00696521460681823,62.1956256437207,0,66455562
"XG1","GX14","UQ1","SP1",0.440248295990651,0.00698440734267091,63.0330211843422,0,69489985
"XG1","GX14","CN1","SP1",0.442675597662792,0.00714235618341939,61.9789305230171,0,69729493
"XG1","GX14","CN10","SP1",0.444035631207745,0.00714374630463386,62.1572508698576,0,69730877
"XG1","GX14","AL1","SP1",0.43921292365396,0.00695450763748527,63.1551429013568,0,68586202
"XG1","GX14","AL2","SP1",0.438858123738918,0.00693456247389538,63.2856255013875,0,68207448
"XG1","GX14","QT1","SP1",0.438937808776235,0.00692211464547543,63.4109417796399,0,68310526
"XG1","GX14","QT2","SP1",0.439256764852771,0.00689284457433153,63.7264862301599,0,67844051
"XG1","GX14","KL1","SP1",0.440038554741168,0.00692152704750085,63.5753572472208,0,67633745
