"pop1","pop2","pop3","pop4","est","se","z","p","n"
"CE3","KA2","FA4","SP1",0.0279649699861942,0.0432075315037529,0.647224430855652,0.517486701782666,2778928
"CE3","KA2","FA5","SP1",0.0352895450976765,0.0423529828664776,0.833224550179398,0.404718099233195,2772633
"CE3","KA2","FA6","SP1",0.0331129546025773,0.0447691934544075,0.739637059494923,0.459520248420663,2775893
"CE3","KA2","FA7","SP1",0.0332212008344844,0.0465392859735846,0.713831339254765,0.475331478282888,2778221
"CE3","KA5","FA1","SP1",0.0617736730201875,0.0395250877275467,1.56289780925988,0.118076633042754,2779960
"CE3","KA5","FA4","SP1",0.0564536006735403,0.0396106574093205,1.42521241417863,0.154095808901147,2781309
"CE3","KA5","FA5","SP1",0.0675299749278475,0.0411255222331471,1.64204540783724,0.100580594072563,2775012
"CE3","KA5","FA6","SP1",0.0679839747499619,0.0417277747995516,1.62922597901608,0.103265189276761,2778302
"CE3","KA5","FA7","SP1",0.0660294838458945,0.0415993758859011,1.58727102125283,0.112451275532522,2780630
"CE3","KA6","FA1","SP1",0.0674746666320719,0.0358354352899111,1.88290350280936,0.0597134464510512,2787166
"CE3","KA6","FA4","SP1",0.0605077134097009,0.0352379323169611,1.71711872494223,0.0859574815486751,2788530
"CE3","KA6","FA5","SP1",0.0686233206878327,0.037108692219821,1.84925192947594,0.0644214434393612,2782162
"CE3","KA6","FA6","SP1",0.0712386311949825,0.0377948643650942,1.88487595845894,0.0594465866662038,2785471
"CE3","KA6","FA7","SP1",0.0718390639751811,0.0378308187674747,1.89895609758637,0.0575702485687529,2787842
"CE3","KA9","FA1","SP1",0.0812720466247953,0.0414806526415845,1.95927598649496,0.0500804744269281,2786636
"CE3","KA9","FA4","SP1",0.0742469135922452,0.0412875762460343,1.79828704765339,0.0721315312208329,2788010
"CE3","KA9","FA5","SP1",0.0848546118266182,0.0423360267801548,2.00431212563372,0.0450366357712407,2781647
"CE3","KA9","FA6","SP1",0.081869679339098,0.0435248340280313,1.88098774337362,0.0599735861439451,2784941
"CE3","KA9","FA7","SP1",0.0886602545420045,0.0466902953531514,1.89890112862651,0.0575774769301319,2787311
"CE4","KA1","FA1","SP1",0.174370115106905,0.0874367766173609,1.9942422611252,0.046125585754672,2798428
"CE4","KA1","FA4","SP1",0.165818511658195,0.087867867757258,1.88713480696131,0.0591421961440436,2799798
"CE4","KA1","FA5","SP1",0.175633993684742,0.0879457843096611,1.99707120771504,0.0458174481558223,2793375
"CE4","KA1","FA6","SP1",0.177276387426703,0.0876163393821368,2.0233256567992,0.0430395833586613,2796721
"CE4","KA1","FA7","SP1",0.172745717907149,0.0877569649221416,1.96845592894433,0.0490156021504146,2799106
"CE4","KA2","FA1","SP1",0.149650049080852,0.0915100699725691,1.6353396858478,0.101977858526433,2787957
"CE4","KA2","FA4","SP1",0.144821325736933,0.0919584842548671,1.5748555112713,0.115289799677293,2789312
"CE4","KA2","FA5","SP1",0.149967353908356,0.0918251965802086,1.6331830422749,0.102430505384549,2782942
"CE4","KA2","FA6","SP1",0.149081505508649,0.0920673328435363,1.61926604045329,0.105390034091953,2786245
